E_eV,T_from_T22,T_from_S21
1.530382595648912408e-02,2.593460115532269552e-07,2.593460115532269023e-07
1.535383845961490502e-02,2.614556752257640798e-07,2.614556752257640798e-07
1.540385096274068596e-02,2.635801212093533488e-07,2.635801212093532958e-07
1.545386346586646864e-02,2.657194498448293773e-07,2.657194498448293773e-07
1.550387596899224958e-02,2.678737621613599524e-07,2.678737621613600583e-07
1.555388847211803052e-02,2.700431598813057259e-07,2.700431598813056730e-07
1.560390097524381146e-02,2.722277454251364992e-07,2.722277454251363933e-07
1.565391347836959240e-02,2.744276219163668315e-07,2.744276219163668844e-07
1.570392598149537508e-02,2.766428931865381815e-07,2.766428931865380227e-07
1.575393848462115776e-02,2.788736637802251903e-07,2.788736637802251903e-07
1.580395098774693696e-02,2.811200389600972320e-07,2.811200389600971790e-07
1.585396349087271964e-02,2.833821247120019351e-07,2.833821247120019351e-07
1.590397599399850231e-02,2.856600277500946556e-07,2.856600277500947086e-07
1.595398849712428152e-02,2.879538555220002423e-07,2.879538555220003482e-07
1.600400100025006420e-02,2.902637162140171015e-07,2.902637162140171544e-07
1.605401350337584687e-02,2.925897187563611251e-07,2.925897187563610722e-07
1.610402600650162608e-02,2.949319728284393180e-07,2.949319728284393709e-07
1.615403850962740875e-02,2.972905888641786405e-07,2.972905888641787464e-07
1.620405101275318796e-02,2.996656780573757103e-07,2.996656780573758162e-07
1.625406351587897064e-02,3.020573523670999724e-07,3.020573523670999195e-07
1.630407601900475331e-02,3.044657245231330269e-07,3.044657245231330269e-07
1.635408852213053252e-02,3.068909080314391387e-07,3.068909080314391387e-07
1.640410102525631519e-02,3.093330171796984269e-07,3.093330171796984269e-07
1.645411352838209787e-02,3.117921670428557252e-07,3.117921670428557781e-07
1.650412603150787708e-02,3.142684734887263513e-07,3.142684734887264572e-07
1.655413853463365975e-02,3.167620531836411053e-07,3.167620531836411583e-07
1.660415103775944243e-02,3.192730235981277434e-07,3.192730235981276904e-07
1.665416354088522163e-02,3.218015030126421080e-07,3.218015030126421080e-07
1.670417604401100431e-02,3.243476105233342525e-07,3.243476105233342525e-07
1.675418854713678699e-02,3.269114660478688804e-07,3.269114660478687745e-07
1.680420105026256619e-02,3.294931903312696082e-07,3.294931903312695552e-07
1.685421355338834887e-02,3.320929049518306730e-07,3.320929049518307789e-07
1.690422605651413154e-02,3.347107323270553218e-07,3.347107323270552689e-07
1.695423855963991075e-02,3.373467957196433815e-07,3.373467957196433286e-07
1.700425106276569343e-02,3.400012192435240389e-07,3.400012192435240389e-07
1.705426356589147263e-02,3.426741278699384380e-07,3.426741278699384909e-07
1.710427606901725531e-02,3.453656474335540394e-07,3.453656474335539335e-07
1.715428857214303798e-02,3.480759046386470616e-07,3.480759046386470087e-07
1.720430107526881719e-02,3.508050270652947679e-07,3.508050270652948208e-07
1.725431357839459987e-02,3.535531431756628861e-07,3.535531431756628331e-07
1.730432608152038254e-02,3.563203823202983751e-07,3.563203823202984810e-07
1.735433858464616175e-02,3.591068747444840252e-07,3.591068747444839194e-07
1.740435108777194442e-02,3.619127515946447266e-07,3.619127515946447266e-07
1.745436359089772710e-02,3.647381449248022843e-07,3.647381449248023902e-07
1.750437609402350631e-02,3.675831877030685079e-07,3.675831877030684020e-07
1.755438859714928898e-02,3.704480138181902350e-07,3.704480138181902350e-07
1.760440110027507166e-02,3.733327580861532770e-07,3.733327580861533300e-07
1.765441360340085086e-02,3.762375562568232098e-07,3.762375562568231569e-07
1.770442610652663354e-02,3.791625450206449813e-07,3.791625450206449813e-07
1.775443860965241621e-02,3.821078620153803168e-07,3.821078620153804227e-07
1.780445111277819542e-02,3.850736458329183413e-07,3.850736458329185001e-07
1.785446361590397810e-02,3.880600360261092813e-07,3.880600360261091755e-07
1.790447611902975730e-02,3.910671731156711727e-07,3.910671731156711197e-07
1.795448862215553998e-02,3.940951985971381767e-07,3.940951985971382826e-07
1.800450112528132265e-02,3.971442549478633199e-07,3.971442549478633729e-07
1.805451362840710186e-02,4.002144856340775074e-07,4.002144856340776133e-07
1.810452613153288454e-02,4.033060351179875003e-07,4.033060351179873415e-07
1.815453863465866721e-02,4.064190488649538847e-07,4.064190488649538317e-07
1.820455113778444642e-02,4.095536733506941866e-07,4.095536733506941337e-07
1.825456364091022909e-02,4.127100560685585150e-07,4.127100560685585679e-07
1.830457614403601177e-02,4.158883455368514728e-07,4.158883455368513140e-07
1.835458864716179098e-02,4.190886913062177023e-07,4.190886913062176494e-07
1.840460115028757365e-02,4.223112439670689874e-07,4.223112439670689874e-07
1.845461365341335633e-02,4.255561551570888599e-07,4.255561551570889128e-07
1.850462615653913553e-02,4.288235775687650513e-07,4.288235775687652101e-07
1.855463865966491821e-02,4.321136649570056430e-07,4.321136649570056430e-07
1.860465116279069742e-02,4.354265721467990496e-07,4.354265721467991555e-07
1.865466366591648009e-02,4.387624550409361539e-07,4.387624550409362598e-07
1.870467616904226277e-02,4.421214706277836336e-07,4.421214706277835806e-07
1.875468867216804197e-02,4.455037769891258987e-07,4.455037769891259517e-07
1.880470117529382465e-02,4.489095333080612914e-07,4.489095333080612385e-07
